rank,business_id,name,city,category,priority_score,product,phone,email,website,script_angle,url
"1","fade-masters-phx","Fade Masters PHX","Phoenix","Haircuts","95","verified-profile-upgrade","(602) 555-0123","book@fademastersphx.com","https://fademastersphx.com","Your business is already listed; claim and clean it up before competitors do.","/business/fade-masters-phx/"
"2","bobs-smoke-shop-litchfield-park","Bob's Smoke Shop","Litchfield Park","Retail And Specialty","78","verified-profile-upgrade","(623) 935-0786","bobsmokeshopaz@gmail.com","https://bobs-smoke-shop.pages.dev/","Your business is already listed; claim and clean it up before competitors do.","/business/bobs-smoke-shop-litchfield-park/"
"3","empire-pallets-phoenix","Empire Pallets","Phoenix","Business Services","78","verified-profile-upgrade","(480) 662-6551","sales@empirepalletsaz.com","https://empire-pallets.pages.dev/","Your business is already listed; claim and clean it up before competitors do.","/business/empire-pallets-phoenix/"
"4","next-level-gaming-goodyear","Next Level Gaming","Goodyear","Retail And Specialty","76","verified-profile-upgrade","(623) 248-7458","nlgaming2023@gmail.com","https://www.nextlevelgamingaz.com/","Your business is already listed; claim and clean it up before competitors do.","/business/next-level-gaming-goodyear/"
"5","amazon-phoenix-major-employer-adc4ff0","Amazon","Phoenix","Major Employers","35","verified-profile-upgrade","","","https://www.amazon.com","Your business is already listed; claim and clean it up before competitors do.","/business/amazon-phoenix-major-employer-adc4ff0/"
"6","freeport-mcmoran-phoenix-major-employer-5d1daf7","Freeport-McMoRan","Phoenix","Major Employers","35","verified-profile-upgrade","","","https://www.fcx.com","Your business is already listed; claim and clean it up before competitors do.","/business/freeport-mcmoran-phoenix-major-employer-5d1daf7/"
"7","intel-corporation-chandler-major-employer-e42a75d","Intel Corporation","Chandler","Major Employers","35","verified-profile-upgrade","","","https://www.intel.com","Your business is already listed; claim and clean it up before competitors do.","/business/intel-corporation-chandler-major-employer-e42a75d/"
"8","state-of-arizona-phoenix-major-employer-d1d307f","State of Arizona","Phoenix","Major Employers","35","verified-profile-upgrade","","","https://www.az.gov","Your business is already listed; claim and clean it up before competitors do.","/business/state-of-arizona-phoenix-major-employer-d1d307f/"
"9","american-express-phoenix-legal-financial-services-accebed","American Express","Phoenix","Legal And Financial","27","verified-profile-upgrade","","","https://www.americanexpress.com","Your business is already listed; claim and clean it up before competitors do.","/business/american-express-phoenix-legal-financial-services-accebed/"
"10","arizona-state-university-tempe-education-childcare-d5b33c6","Arizona State University","Tempe","Education And Childcare","27","verified-profile-upgrade","","","https://www.asu.edu","Your business is already listed; claim and clean it up before competitors do.","/business/arizona-state-university-tempe-education-childcare-d5b33c6/"
"11","avnet-phoenix-contractor-home-service-014d78b","Avnet","Phoenix","Home Services","27","verified-profile-upgrade","","","https://www.avnet.com","Your business is already listed; claim and clean it up before competitors do.","/business/avnet-phoenix-contractor-home-service-014d78b/"
"12","banner-health-phoenix-healthcare-wellness-e134708","Banner Health","Phoenix","Health And Care","27","verified-profile-upgrade","","","https://www.bannerhealth.com","Your business is already listed; claim and clean it up before competitors do.","/business/banner-health-phoenix-healthcare-wellness-e134708/"
"13","dignity-health-phoenix-healthcare-wellness-449a910","Dignity Health","Phoenix","Health And Care","27","verified-profile-upgrade","","","https://www.dignityhealth.org","Your business is already listed; claim and clean it up before competitors do.","/business/dignity-health-phoenix-healthcare-wellness-449a910/"
"14","honeywell-aerospace-phoenix-salon-personal-care-5eb247f","Honeywell Aerospace","Phoenix","Beauty And Wellness","27","verified-profile-upgrade","","","https://www.honeywell.com","Your business is already listed; claim and clean it up before competitors do.","/business/honeywell-aerospace-phoenix-salon-personal-care-5eb247f/"
"15","phoenix-children-s-hospital-phoenix-healthcare-wellness-79b5f94","Phoenix Children’s Hospital","Phoenix","Health And Care","27","verified-profile-upgrade","","","https://www.phoenixchildrens.org","Your business is already listed; claim and clean it up before competitors do.","/business/phoenix-children-s-hospital-phoenix-healthcare-wellness-79b5f94/"
"16","republic-services-phoenix-business-professional-services-8a067e4","Republic Services","Phoenix","Business Services","27","verified-profile-upgrade","","","https://www.republicservices.com","Your business is already listed; claim and clean it up before competitors do.","/business/republic-services-phoenix-business-professional-services-8a067e4/"
"17","sprouts-farmers-market-phoenix-retail-specialty-store-10c03b9","Sprouts Farmers Market","Phoenix","Retail And Specialty","27","verified-profile-upgrade","","","https://www.sprouts.com","Your business is already listed; claim and clean it up before competitors do.","/business/sprouts-farmers-market-phoenix-retail-specialty-store-10c03b9/"
"18","usaa-phoenix-legal-financial-services-7ae1e09","USAA","Phoenix","Legal And Financial","27","verified-profile-upgrade","","","https://www.usaa.com","Your business is already listed; claim and clean it up before competitors do.","/business/usaa-phoenix-legal-financial-services-7ae1e09/"
"19","wells-fargo-phoenix-legal-financial-services-e21b245","Wells Fargo","Phoenix","Legal And Financial","27","verified-profile-upgrade","","","https://www.wellsfargo.com","Your business is already listed; claim and clean it up before competitors do.","/business/wells-fargo-phoenix-legal-financial-services-e21b245/"
