id,name,category,subcategory,niche,city,state,zip,phone,email,website,booking_url,verification_score,starting_price,price_mode,claim_status,duplicate_status,identity_key,source_file,last_verified
"fade-masters-phx","Fade Masters PHX","Haircuts","Barber","Barber","Phoenix","AZ","85003","(602) 555-0123","book@fademastersphx.com","https://fademastersphx.com","https://book.fademastersphx.com","90","35","STARTING_AT","unclaimed","unscanned","domain:fademastersphx.com","seed/businesses/core.json","2026-02-04"
"bobs-smoke-shop-litchfield-park","Bob's Smoke Shop","Retail And Specialty","Smoke Shop","Smoke Shop","Litchfield Park","AZ","85340","(623) 935-0786","bobsmokeshopaz@gmail.com","https://bobs-smoke-shop.pages.dev/","https://bobs-smoke-shop.pages.dev/contact","63","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:bobs-smoke-shop.pages.dev","seed/businesses/clients.json","2026-05-17"
"empire-pallets-phoenix","Empire Pallets","Business Services","Commercial Pallet Supply","Pallet Supply And Recycling","Phoenix","AZ","85009","(480) 662-6551","sales@empirepalletsaz.com","https://empire-pallets.pages.dev/","https://empire-pallets.pages.dev/quote.html","63","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:empire-pallets.pages.dev","seed/businesses/clients.json","2026-05-17"
"next-level-gaming-goodyear","Next Level Gaming","Retail And Specialty","Trading Card Shop","Trading Card Shop","Goodyear","AZ","85338","(623) 248-7458","nlgaming2023@gmail.com","https://www.nextlevelgamingaz.com/","https://btdgamingtcg.tcgplayerpro.com/","59","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:nextlevelgamingaz.com","seed/businesses/clients.json","2026-05-19"
"amazon-phoenix-major-employer-adc4ff0","Amazon","Major Employers","Major Employer","Major Employer","Phoenix","AZ","","","","https://www.amazon.com","","13","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:amazon.com","seed/businesses/inbox/az_businesses_seed.csv","2026-05-19"
"american-express-phoenix-legal-financial-services-accebed","American Express","Legal And Financial","Legal / Financial Services","Legal / Financial Services","Phoenix","AZ","","","","https://www.americanexpress.com","","13","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:americanexpress.com","seed/businesses/inbox/az_businesses_seed.csv","2026-05-19"
"arizona-state-university-tempe-education-childcare-d5b33c6","Arizona State University","Education And Childcare","Education / Childcare","Education / Childcare","Tempe","AZ","","","","https://www.asu.edu","","13","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:asu.edu","seed/businesses/inbox/az_businesses_seed.csv","2026-05-19"
"avnet-phoenix-contractor-home-service-014d78b","Avnet","Home Services","Contractor / Home Service","Contractor / Home Service","Phoenix","AZ","","","","https://www.avnet.com","","13","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:avnet.com","seed/businesses/inbox/az_businesses_seed.csv","2026-05-19"
"banner-health-phoenix-healthcare-wellness-e134708","Banner Health","Health And Care","Healthcare / Wellness","Healthcare / Wellness","Phoenix","AZ","","","","https://www.bannerhealth.com","","13","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:bannerhealth.com","seed/businesses/inbox/az_businesses_seed.csv","2026-05-19"
"dignity-health-phoenix-healthcare-wellness-449a910","Dignity Health","Health And Care","Healthcare / Wellness","Healthcare / Wellness","Phoenix","AZ","","","","https://www.dignityhealth.org","","13","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:dignityhealth.org","seed/businesses/inbox/az_businesses_seed.csv","2026-05-19"
"freeport-mcmoran-phoenix-major-employer-5d1daf7","Freeport-McMoRan","Major Employers","Major Employer","Major Employer","Phoenix","AZ","","","","https://www.fcx.com","","13","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:fcx.com","seed/businesses/inbox/az_businesses_seed.csv","2026-05-19"
"honeywell-aerospace-phoenix-salon-personal-care-5eb247f","Honeywell Aerospace","Beauty And Wellness","Salon / Personal Care","Salon / Personal Care","Phoenix","AZ","","","","https://www.honeywell.com","","13","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:honeywell.com","seed/businesses/inbox/az_businesses_seed.csv","2026-05-19"
