id,company_name,business_type,address,city,state,zip,website
27472,Banner Health,Healthcare,"Phoenix, AZ",Phoenix,AZ,,www.bannerhealth.com
27473,Honeywell Aerospace,Aerospace and Defense,"Phoenix, AZ",Phoenix,AZ,,www.honeywell.com
27474,Intel Corporation,Semiconductors,"Chandler, AZ",Chandler,AZ,,www.intel.com
27475,Wells Fargo,Financial Services,"Phoenix, AZ",Phoenix,AZ,,www.wellsfargo.com
27476,American Express,Financial Services,"Phoenix, AZ",Phoenix,AZ,,www.americanexpress.com
27477,Phoenix Children’s Hospital,Healthcare,"Phoenix, AZ",Phoenix,AZ,,www.phoenixchildrens.org
27478,Arizona State University,Education,"Tempe, AZ",Tempe,AZ,,www.asu.edu
27479,Freeport-McMoRan,Mining,"Phoenix, AZ",Phoenix,AZ,,www.fcx.com
27480,Dignity Health,Healthcare,"Phoenix, AZ",Phoenix,AZ,,www.dignityhealth.org
27481,State of Arizona,Government,"Phoenix, AZ",Phoenix,AZ,,www.az.gov
27482,Amazon,E-commerce,"Phoenix, AZ",Phoenix,AZ,,www.amazon.com
27483,Avnet,Electronics Distribution,"Phoenix, AZ",Phoenix,AZ,,www.avnet.com
27484,USAA,Insurance and Financial Services,"Phoenix, AZ",Phoenix,AZ,,www.usaa.com
27485,Sprouts Farmers Market,Grocery Retail,"Phoenix, AZ",Phoenix,AZ,,www.sprouts.com
27486,Republic Services,Waste Management,"Phoenix, AZ",Phoenix,AZ,,www.republicservices.com
