Skye Business Command Center Smoke Test
Generated: 2026-05-15T14:11:59+00:00

200 http://localhost:8080/index.html
200 http://localhost:8080/setup.html
200 http://localhost:8080/dashboard.html
200 http://localhost:8080/command-center.html
200 http://localhost:8080/pricing.html
200 http://localhost:8080/client-onboarding.html
200 http://localhost:8080/client-handoff.html
200 http://localhost:8080/launch.html
200 http://localhost:8080/demo.html
200 http://localhost:8080/proof.html
200 http://localhost:8080/maintenance.html
200 http://localhost:8080/readiness.html
200 http://localhost:8080/brain.html
403 http://localhost:8081
200 http://localhost:8082
200 http://localhost:8083
200 http://localhost:8084
