rank,business_id,name,city,category,priority_score,product,phone,email,website,script_angle,url
"1","fade-masters-phx","Fade Masters PHX","Phoenix","Haircuts","95","verified-profile-upgrade","(602) 555-0123","book@fademastersphx.com","https://fademastersphx.com","Your business is already listed; claim and clean it up before competitors do.","/business/fade-masters-phx/"
"2","bobs-smoke-shop-litchfield-park","Bob's Smoke Shop","Litchfield Park","Retail And Specialty","78","verified-profile-upgrade","(623) 935-0786","bobsmokeshopaz@gmail.com","https://bobs-smoke-shop.pages.dev/","Your business is already listed; claim and clean it up before competitors do.","/business/bobs-smoke-shop-litchfield-park/"
"3","empire-pallets-phoenix","Empire Pallets","Phoenix","Business Services","78","verified-profile-upgrade","(480) 662-6551","sales@empirepalletsaz.com","https://empire-pallets.pages.dev/","Your business is already listed; claim and clean it up before competitors do.","/business/empire-pallets-phoenix/"
"4","next-level-gaming-goodyear","Next Level Gaming","Goodyear","Retail And Specialty","76","verified-profile-upgrade","(623) 248-7458","nlgaming2023@gmail.com","https://www.nextlevelgamingaz.com/","Your business is already listed; claim and clean it up before competitors do.","/business/next-level-gaming-goodyear/"
"5","as-you-wish-pottery-westgate","As You Wish Pottery","Glendale","Creative Services","70","verified-profile-upgrade","(623) 772-5403","","https://www.asyouwishpottery.com","Your business is already listed; claim and clean it up before competitors do.","/business/as-you-wish-pottery-westgate/"
"6","chicken-n-pickle-westgate","Chicken N Pickle","Glendale","Food And Events","70","verified-profile-upgrade","(623) 352-8950","","https://chickennpickle.com","Your business is already listed; claim and clean it up before competitors do.","/business/chicken-n-pickle-westgate/"
"7","dave-and-busters-westgate","Dave & Buster’s","Glendale","Food And Events","70","verified-profile-upgrade","(623) 759-7800","","https://www.daveandbusters.com","Your business is already listed; claim and clean it up before competitors do.","/business/dave-and-busters-westgate/"
"8","escape-westgate","Escape Westgate","Glendale","Food And Events","70","verified-profile-upgrade","(623) 282-1979","","https://www.escapewestgate.com","Your business is already listed; claim and clean it up before competitors do.","/business/escape-westgate/"
"9","popstroke-westgate","PopStroke","Glendale","Food And Events","70","verified-profile-upgrade","(623) 323-0002","","https://popstroke.com","Your business is already listed; claim and clean it up before competitors do.","/business/popstroke-westgate/"
"10","state-farm-stadium","State Farm Stadium","Glendale","Food And Events","70","verified-profile-upgrade","(623) 433-7101","","https://www.statefarmstadium.com/","Your business is already listed; claim and clean it up before competitors do.","/business/state-farm-stadium/"
"11","stir-crazy-comedy-club","Stir Crazy","Glendale","Food And Events","70","verified-profile-upgrade","(623) 565-8667","","https://www.stircrazycomedyclub.com","Your business is already listed; claim and clean it up before competitors do.","/business/stir-crazy-comedy-club/"
"12","goodyear-ballpark","Goodyear Ballpark","Goodyear","Food And Events","52","verified-profile-upgrade","","","https://goodyearbp.com/","Your business is already listed; claim and clean it up before competitors do.","/business/goodyear-ballpark/"
"13","the-wigwam-resort","The Wigwam","Litchfield Park","Food And Events","52","verified-profile-upgrade","","","https://www.wigwamarizona.com/","Your business is already listed; claim and clean it up before competitors do.","/business/the-wigwam-resort/"
"14","theaterworks-peoria","TheaterWorks","Peoria","Creative Services","52","verified-profile-upgrade","","","https://theaterworks.org/","Your business is already listed; claim and clean it up before competitors do.","/business/theaterworks-peoria/"
"15","westgate-entertainment-district","Westgate","Glendale","Food And Events","52","verified-profile-upgrade","","","https://westgateaz.com/","Your business is already listed; claim and clean it up before competitors do.","/business/westgate-entertainment-district/"
"16","amazon-phoenix-major-employer-adc4ff0","Amazon","Phoenix","Major Employers","35","verified-profile-upgrade","","","https://www.amazon.com","Your business is already listed; claim and clean it up before competitors do.","/business/amazon-phoenix-major-employer-adc4ff0/"
"17","freeport-mcmoran-phoenix-major-employer-5d1daf7","Freeport-McMoRan","Phoenix","Major Employers","35","verified-profile-upgrade","","","https://www.fcx.com","Your business is already listed; claim and clean it up before competitors do.","/business/freeport-mcmoran-phoenix-major-employer-5d1daf7/"
"18","intel-corporation-chandler-major-employer-e42a75d","Intel Corporation","Chandler","Major Employers","35","verified-profile-upgrade","","","https://www.intel.com","Your business is already listed; claim and clean it up before competitors do.","/business/intel-corporation-chandler-major-employer-e42a75d/"
"19","state-of-arizona-phoenix-major-employer-d1d307f","State of Arizona","Phoenix","Major Employers","35","verified-profile-upgrade","","","https://www.az.gov","Your business is already listed; claim and clean it up before competitors do.","/business/state-of-arizona-phoenix-major-employer-d1d307f/"
