due_date,rank,business_id,name,city,category,stage,score,next_action,phone,email,website
"2026-05-20","1","fade-masters-phx","Fade Masters PHX","Phoenix","Haircuts","sponsor-ready","69","Pitch exposure package or featured placement.","(602) 555-0123","book@fademastersphx.com","https://fademastersphx.com"
"2026-05-21","2","empire-pallets-phoenix","Empire Pallets","Phoenix","Business Services","profile-enrichment","68","Request offer, pricing, description, and badge cleanup.","(480) 662-6551","sales@empirepalletsaz.com","https://empire-pallets.pages.dev/"
"2026-05-22","3","480-realty-property-management-mesa-85209","480 Realty & Property Management","Mesa","Real Estate And Property","profile-enrichment","65","Request offer, pricing, description, and badge cleanup.","(480) 282-1234","mario@480realtypm.com","https://480-realty-property-management.pages.dev/"
"2026-05-23","4","bobs-smoke-shop-litchfield-park","Bob's Smoke Shop","Litchfield Park","Retail And Specialty","profile-enrichment","65","Request offer, pricing, description, and badge cleanup.","(623) 935-0786","bobsmokeshopaz@gmail.com","https://bobs-smoke-shop.pages.dev/"
"2026-05-24","5","chicken-n-pickle-westgate","Chicken N Pickle","Glendale","Food And Events","profile-enrichment","65","Request offer, pricing, description, and badge cleanup.","(623) 352-8950","","https://chickennpickle.com"
"2026-05-25","6","dave-and-busters-westgate","Dave & Buster’s","Glendale","Food And Events","profile-enrichment","65","Request offer, pricing, description, and badge cleanup.","(623) 759-7800","","https://www.daveandbusters.com"
"2026-05-26","7","escape-westgate","Escape Westgate","Glendale","Food And Events","profile-enrichment","65","Request offer, pricing, description, and badge cleanup.","(623) 282-1979","","https://www.escapewestgate.com"
"2026-05-27","8","popstroke-westgate","PopStroke","Glendale","Food And Events","profile-enrichment","65","Request offer, pricing, description, and badge cleanup.","(623) 323-0002","","https://popstroke.com"
"2026-05-28","9","state-farm-stadium","State Farm Stadium","Glendale","Food And Events","profile-enrichment","65","Request offer, pricing, description, and badge cleanup.","(623) 433-7101","","https://www.statefarmstadium.com/"
"2026-05-29","10","stir-crazy-comedy-club","Stir Crazy","Glendale","Food And Events","profile-enrichment","65","Request offer, pricing, description, and badge cleanup.","(623) 565-8667","","https://www.stircrazycomedyclub.com"
"2026-05-30","11","techbros-electronic-recycling-and-itad-scottsdale-85260-8909b0c","Techbros Electronic Recycling & ITAD","Scottsdale","Business Services","profile-enrichment","65","Request offer, pricing, description, and badge cleanup.","(480) 447-7356","","https://techbros-electronic-recycling-itad.pages.dev/"
